geoid_co,tech_employment_all_estimate,share_tech,name,name_co
19007,37,0.00766204183060675,White,"Appanoose County, IA"
19009,5,0.00175870559268378,White,"Audubon County, IA"
19019,117,0.0112781954887218,White,"Buchanan County, IA"
19021,64,0.00618656355727405,Hispanic or Latino,"Buena Vista County, IA"
19023,80,0.0117113160591421,White,"Butler County, IA"
19025,32,0.00762449368596617,White,"Calhoun County, IA"
19027,79,0.00729320531757755,White,"Carroll County, IA"
19029,23,0.00356257744733581,White,"Cass County, IA"
19031,153,0.0158499948202631,White,"Cedar County, IA"
19035,17,0.00284233405784986,White,"Cherokee County, IA"
19037,38,0.00592177029764688,White,"Chickasaw County, IA"
19041,112,0.0137575236457438,White,"Clay County, IA"
19043,82,0.00937142857142857,White,"Clayton County, IA"
19045,248,0.0115305932676214,White,"Clinton County, IA"
19047,84,0.0109689213893967,Hispanic or Latino,"Crawford County, IA"
19051,40,0.00963391136801541,White,"Davis County, IA"
19055,81,0.00850125944584383,White,"Delaware County, IA"
19059,52,0.00560405216079319,White,"Dickinson County, IA"
19065,122,0.0128746306458421,White,"Fayette County, IA"
19071,30,0.00958466453674121,White,"Fremont County, IA"
19081,27,0.00470957613814757,White,"Hancock County, IA"
19083,106,0.0125265894587568,White,"Hardin County, IA"
19089,29,0.00608604407135362,White,"Howard County, IA"
19091,20,0.0042185192997258,White,"Humboldt County, IA"
19093,20,0.00560852495793606,White,"Ida County, IA"
19095,145,0.0167688215566092,White,"Iowa County, IA"
19097,179,0.0188183347350715,White,"Jackson County, IA"
19107,72,0.01561144839549,White,"Keokuk County, IA"
19109,29,0.00410241901259018,White,"Kossuth County, IA"
19111,86,0.00558115387111428,White,"Lee County, IA"
19117,58,0.0143386897404203,White,"Lucas County, IA"
19119,59,0.00979090607368072,White,"Lyon County, IA"
19123,185,0.0166636642046478,White,"Mahaska County, IA"
19125,373,0.0224158653846154,White,"Marion County, IA"
19127,435,0.0226326742976067,Hispanic or Latino,"Marshall County, IA"
19131,77,0.0135658914728682,White,"Mitchell County, IA"
19133,9,0.00216398172637653,White,"Monona County, IA"
19135,30,0.00818107444777747,White,"Monroe County, IA"
19137,51,0.0107165370876235,White,"Montgomery County, IA"
19139,163,0.00764432772123998,Hispanic or Latino,"Muscatine County, IA"
19141,68,0.00951048951048951,White,"O'Brien County, IA"
19145,49,0.00707990174830227,White,"Page County, IA"
19147,12,0.00259627866724362,White,"Palo Alto County, IA"
19149,82,0.00607362417598696,White,"Plymouth County, IA"
19151,8,0.00236336779911374,White,"Pocahontas County, IA"
19157,135,0.0146723182262798,White,"Poweshiek County, IA"
19159,2,9.16170407695831e-4,White,"Ringgold County, IA"
19161,35,0.00710371422772478,White,"Sac County, IA"
19165,89,0.0144597887896019,White,"Shelby County, IA"
19175,56,0.00987828541188922,White,"Union County, IA"
19177,15,0.00489396411092985,White,"Van Buren County, IA"
19185,2,6.99300699300699e-4,White,"Wayne County, IA"
19189,82,0.0148874364560639,White,"Winnebago County, IA"
19191,77,0.0069052102950408,White,"Winneshiek County, IA"
19195,91,0.0231552162849873,White,"Worth County, IA"
20003,43,0.01279000594884,White,"Anderson County, KS"
20027,71,0.0193355119825708,White,"Clay County, KS"
20029,65,0.0150428141633881,White,"Cloud County, KS"
20031,24,0.00599850037490627,White,"Coffey County, KS"
20033,0,0,White,"Comanche County, KS"
20039,3,0.00221729490022173,White,"Decatur County, KS"
20047,25,0.0187687687687688,Hispanic or Latino,"Edwards County, KS"
20055,147,0.00761618568986063,Hispanic or Latino,"Finney County, KS"
20057,195,0.0113246994598989,Hispanic or Latino,"Ford County, KS"
20059,203,0.015371800696653,White,"Franklin County, KS"
20063,7,0.00549450549450549,White,"Gove County, KS"
20067,18,0.00553165334972342,Hispanic or Latino,"Grant County, KS"
20071,2,0.00291545189504373,Hispanic or Latino,"Greeley County, KS"
20073,6,0.00208695652173913,White,"Greenwood County, KS"
20075,0,0,Hispanic or Latino,"Hamilton County, KS"
20081,14,0.00759219088937093,Hispanic or Latino,"Haskell County, KS"
20083,5,0.00535905680600214,White,"Hodgeman County, KS"
20089,26,0.0209677419354839,White,"Jewell County, KS"
20093,26,0.0144444444444444,Hispanic or Latino,"Kearny County, KS"
20095,36,0.0100027785495971,White,"Kingman County, KS"
20105,6,0.00422535211267606,White,"Lincoln County, KS"
20111,192,0.0111388292626327,Hispanic or Latino,"Lyon County, KS"
20113,261,0.017141731249179,White,"McPherson County, KS"
20115,75,0.0132181882270004,White,"Marion County, KS"
20117,24,0.00481347773766546,White,"Marshall County, KS"
20119,10,0.00493827160493827,Hispanic or Latino,"Meade County, KS"
20123,3,0.00112275449101796,White,"Mitchell County, KS"
20127,23,0.00844966936076414,White,"Morris County, KS"
20129,6,0.00496277915632754,Hispanic or Latino,"Morton County, KS"
20131,27,0.00538277511961723,White,"Nemaha County, KS"
20141,16,0.00900900900900901,White,"Osborne County, KS"
20143,48,0.017100106875668,White,"Ottawa County, KS"
20147,23,0.00958732805335557,White,"Phillips County, KS"
20157,34,0.0154686078252957,White,"Republic County, KS"
20163,13,0.00540540540540541,White,"Rooks County, KS"
20171,0,0,Hispanic or Latino,"Scott County, KS"
20175,71,0.00655344286505446,Hispanic or Latino,"Seward County, KS"
20179,6,0.00436363636363636,White,"Sheridan County, KS"
20183,19,0.0113230035756853,White,"Smith County, KS"
20187,17,0.0182012847965739,Hispanic or Latino,"Stanton County, KS"
20189,0,0,Hispanic or Latino,"Stevens County, KS"
20195,0,0,White,"Trego County, KS"
20199,0,0,White,"Wallace County, KS"
20201,18,0.00708103855232101,White,"Washington County, KS"
20203,0,0,Hispanic or Latino,"Wichita County, KS"
20205,93,0.0238095238095238,White,"Wilson County, KS"
20207,5,0.00387897595034911,White,"Woodson County, KS"
21001,83,0.0108638743455497,White,"Adair County, KY"
21005,270,0.0249722530521643,White,"Anderson County, KY"
21007,30,0.00925354719309068,White,"Ballard County, KY"
21011,20,0.00418672807201172,White,"Bath County, KY"
21013,39,0.00539941852415894,White,"Bell County, KY"
